Wall time,Step,Value
1646859681.7471528,20,1.126099944114685
1646859689.1961346,40,0.7688000202178955
1646859696.5420833,60,0.9049000144004822
1646859708.760674,80,0.7271000146865845
1646859716.1417146,100,0.6061000227928162
1646859723.7272491,120,0.6272000074386597
1646859731.3322334,140,0.6139000058174133
1646859743.7607212,160,0.617900013923645
1646859751.3247616,180,0.3833000063896179
1646859758.9110508,200,0.48989999294281006
1646859766.5561013,220,0.4959000051021576
1646859778.9666514,240,0.3305000066757202
1646859786.5530462,260,0.17730000615119934
1646859794.1501768,280,0.23469999432563782
1646859801.721733,300,0.5013999938964844
1646859814.1280866,320,0.2815999984741211
1646859821.667598,340,0.04230000078678131
1646859829.2152452,360,0.06400000303983688
1646859836.7471426,380,0.20890000462532043
1646859849.064215,400,0.1867000013589859
1646859856.5838933,420,0.1518000066280365
1646859864.1235886,440,0.1274999976158142
1646859871.6378374,460,0.023900000378489494
1646859883.9934375,480,0.07840000092983246
1646859891.5124276,500,0.03060000017285347
1646859901.6822712,520,0.000699999975040555
1646859909.2516398,540,0.052000001072883606
1646859921.5834541,560,0.020899999886751175
1646859929.0898585,580,0.00039999998989515007
1646859936.627338,600,0.033399999141693115
1646859944.1558123,620,0.06480000168085098
1646859956.5152776,640,0.023800000548362732
1646859964.0183384,660,0.024800000712275505
1646859971.564601,680,0.00430000014603138
1646859979.0727642,700,0.018300000578165054
1646859991.4078782,720,0.007300000172108412
1646859998.9242458,740,0.014600000344216824
1646860006.4223475,760,0.0010000000474974513
1646860013.896354,780,0.003100000089034438
