Wall time,Step,Value
1641726498.9714687,20,1.3249000310897827
1641726518.7961714,40,0.769599974155426
1641726546.7921848,60,0.786899983882904
1641726565.0981953,80,0.5726000070571899
1641726582.2634127,100,0.6015999913215637
1641726610.7385595,120,0.35499998927116394
1641726629.1847088,140,0.3959999978542328
1641726651.1798625,160,0.3869999945163727
1641726672.2909286,180,0.28769999742507935
1641726690.4348724,200,0.2313999980688095
1641726716.0399616,220,0.16779999434947968
1641726730.859766,240,0.10899999737739563
1641726752.9916139,260,0.1225999966263771
1641726768.4523423,280,0.11180000007152557
1641726786.0298734,300,0.07329999655485153
1641726813.258508,320,0.07360000163316727
1641726831.9241352,340,0.016899999231100082
1641726860.8602192,360,0.0052999998442828655
1641726878.628444,380,0.0210999995470047
1641726896.7683768,400,0.03550000116229057
1641726924.6019866,420,0.04360000044107437
1641726942.4729176,440,0.019700000062584877
1641726965.4075437,460,0.0005000000237487257
1641726981.0194118,480,0.03020000085234642
1641726994.1237295,500,0.0031999999191612005
