Wall time,Step,Value
1641757811.386645,20,1.732200026512146
1641757831.5440648,40,1.1708999872207642
1641757860.5567384,60,1.0712000131607056
1641757877.7397747,80,0.9623000025749207
1641757895.5571144,100,1.0312999486923218
1641757921.8270702,120,0.7531999945640564
1641757934.6185956,140,0.7440999746322632
1641757954.1495857,160,0.5932000279426575
1641757967.3186202,180,0.5224999785423279
1641757981.467354,200,0.559499979019165
1641758004.3182204,220,0.313400000333786
1641758018.4588594,240,0.38920000195503235
1641758044.2607129,260,0.295199990272522
1641758061.1249359,280,0.24169999361038208
1641758076.4410038,300,0.20960000157356262
1641758097.2178876,320,0.12939999997615814
1641758110.5887287,340,0.1387999951839447
1641758134.4581501,360,0.08269999921321869
1641758154.1156628,380,0.05939999967813492
1641758172.904431,400,0.051500000059604645
1641758202.2027047,420,0.05790000036358833
1641758221.536138,440,0.07209999859333038
1641758248.3502464,460,0.02850000001490116
1641758264.0949035,480,0.06289999932050705
1641758278.427412,500,0.10159999877214432
